iteration,episode_reward_mean,episode_len_mean,policy_loss,vf_loss,total_loss,entropy
1,79.61732634616475,442.3333333333333,-0.07032442927360534,9.500865265528361,9.43480351448059,4.2476463127136235
2,101.88687547828101,383.0,-0.053563329453269644,9.636132017771404,9.587895774841309,4.236601600646972
3,113.1484045966606,438.45454545454544,-0.07474657294650873,9.762990029652913,9.69262913386027,4.09066677570343
4,173.9145487100896,552.6923076923077,-0.05864921549956004,9.840617243448893,9.78722536087036,4.135649065971375
5,195.31047161573412,598.9285714285714,-0.09426631102959315,9.169245168368022,9.081694523493448,4.162095683415731
6,206.5548030499175,652.1111111111111,-0.013047994275887808,9.828870328267415,9.822281093597413,4.26521623134613
7,200.74518439679468,642.5263157894736,-0.07561003662645817,9.908204434712728,9.84119514465332,4.219107918739319
8,239.8355483503153,695.6190476190476,-0.09145915584483494,9.736325159072877,9.652213567097983,4.293098131815593
9,227.12745807975875,688.8333333333334,-0.08382544703160723,9.468454019228618,9.395051584243774,4.302405441602071
10,237.45617787525808,708.4074074074074,-0.0278300246099631,9.693881888389587,9.67738210519155,4.280864488283793
11,250.9908381805497,716.7586206896551,-0.05354049417500695,8.475050543149312,8.432000749905905,4.371388883590698
12,256.66950935039097,726.6451612903226,-0.054990392451485,9.349709599812826,9.311413288116455,4.082721037864685
13,263.09448312414446,717.5142857142857,-0.0660273730258147,8.869039889971415,8.818443134625753,4.206347052256266
14,260.90368099479065,702.3947368421053,-0.05667920519908269,9.799129498799642,9.75564216295878,4.145205005009969
15,276.5856532128419,701.952380952381,-0.04310179650783539,9.393765582243601,9.368871722221375,4.129389743804932
16,294.89638195261637,701.3181818181819,-0.09521652509768803,9.826922254562378,9.745110333760579,4.246185193061828
17,309.2181601891064,711.1521739130435,-0.07861186879376571,9.58111310005188,9.519897464116415,4.207590707143148
18,315.8478944489213,727.1666666666666,-0.047564953565597534,9.285106170972188,9.248961456616719,4.171078639030457
19,344.70928007207726,746.08,-0.12372440969261031,9.884361763000488,9.769407558441163,4.3983440637588505
20,352.66045501818877,747.0576923076923,-0.08158492961588006,9.932861296335856,9.862240784962973,4.496975784301758
21,386.5971682836843,763.8333333333334,-0.09838548044363658,9.892521095275878,9.806656010945638,4.504298345247904
22,388.707062344122,762.0535714285714,-0.0553906187415123,9.99120143254598,9.953781890869141,4.617023407618205
23,424.1329690736213,777.1551724137931,-0.07996307969093323,9.826811046600342,9.759221801757812,4.4572363980611165
24,434.7241053697633,791.25,-0.043849554962168136,9.937308158874512,9.904810644785563,4.439562861124674
25,436.6021039941717,792.5081967213115,-0.0788963666682442,9.807713623046874,9.740079085032145,4.433753223419189
26,453.0132734571082,793.4375,-0.08360875083133579,9.848631715774536,9.779311319986979,4.517744309107463
27,478.3408004927038,805.7575757575758,-0.08982037556047241,9.749094918568929,9.688276004791259,4.301074368158976
28,478.88456151243076,804.4029850746268,-0.061919786085685095,9.260000522931417,9.231726135412853,4.2140150022506715
29,488.11808467222767,815.8695652173913,-0.07903512232005597,9.99554281870524,9.941207599639892,4.288866731325785
30,509.6579325595533,826.6901408450705,-0.0692095453881969,9.990515772501627,9.9416788037618,4.638803571065267
31,511.08850590576196,825.8648648648649,-0.02634434779485067,9.754928716023763,9.760581614176433,4.105030884742737
32,547.3748594747334,835.7105263157895,-0.07044015844662985,9.950307038625082,9.903203125,3.947284016609192
33,550.85655273104,834.474358974359,-0.0789152318239212,9.836943289438883,9.76706750869751,4.419674688975016
34,557.4165959980346,839.1012658227849,-0.07792802152689546,9.99218708674113,9.925371023813883,3.29351078192393
35,586.9556296402163,848.0123456790124,-0.08930455639958382,9.978852094014485,9.901636130015055,3.6774198325475056
36,588.1294647979137,834.6395348837209,-0.051479973842700325,9.693703212738036,9.65307814915975,3.689662521680196
37,582.2689664765846,827.6091954022988,-0.04686440453864634,9.786996726989747,9.74794984181722,4.658557454744975
38,574.6581084692202,814.1847826086956,-0.021278668890396753,9.346761271158854,9.336663808822632,4.7224815543492635
39,573.8401305543543,812.6063829787234,-0.06337676854183276,9.872155939737956,9.820741964975992,4.460199968020121
40,593.1650917521717,820.6770833333334,-0.08193918372193973,9.982122071584065,9.919906393686931,3.856317989031474
41,605.9266732236767,828.4183673469388,-0.07694656143585842,9.98505345662435,9.929196281433105,4.335311895211538
42,604.8229372322361,824.71,-0.08200536964461208,9.791424725850423,9.720136795043945,4.725363073348999
43,616.1418007275103,838.76,-0.04901499683658282,9.628280452092488,9.59388887723287,4.096103831926982
44,618.1586958506763,843.21,-0.08844632705673576,9.817210992177328,9.741575158437094,4.443970082600911
45,642.7569818504833,861.22,-0.029470494240522383,9.940152842203776,9.92317974726359,4.816992923418681
46,662.9566634727083,858.54,-0.07439634487032891,9.739385817845662,9.679300629297892,4.492217122713725
47,664.6052380252801,853.24,-0.0686880244500935,9.597651109695434,9.545224424997965,4.743041184743245
48,674.5731367748963,847.27,-0.055573710302511854,8.953076165517171,8.909803167978923,5.4307533566157025
49,689.3441454451809,851.38,-0.011287618676821392,9.793117739359538,9.799455610911052,4.270529588063558
50,696.2889719910012,845.17,-0.05785990248123805,9.787679735819498,9.749021759033203,4.921882561047872
51,694.7401394733663,836.58,-0.09541691827277342,9.909692217508951,9.82560433069865,4.8012921555837
52,713.3744261766966,823.91,-0.054033283491929374,9.623586495717367,9.579777536392212,4.65651518980662
53,724.5085881164218,830.51,-0.06513282721241315,9.996287015279135,9.949523029327393,5.010649485588074
54,753.9442623768297,834.87,-0.07318685206274192,9.996070200602214,9.932754681905111,5.192129872639974
55,769.8074308445415,846.5,-0.06581481332580248,8.960813142458598,8.912924545605977,4.165463226636251
56,763.5803275000385,837.91,-0.06262278616428375,9.366557264328003,9.315422449111939,4.695492547353108
57,766.0252965172134,841.22,-0.043654823427399,9.693956699371338,9.663947188059488,4.268941876093547
58,766.0252965172134,841.22,-0.11629269702360034,9.996654783884685,9.888826198577881,4.461154257456462
59,768.5426309478503,811.87,-0.03162865956624349,9.616847613652547,9.5959020169576,4.8127541780471805
