iteration,episode_reward_mean,episode_len_mean,policy_loss,vf_loss,total_loss,entropy
1,-2.093005250269064,66.29629629629629,-0.04318822051708897,9.2759872118632,9.236997626622518,4.272440168062846
2,-1.1008541108508627,68.17647058823529,-0.042160036750137804,9.264872725804647,9.228206923802693,4.2612340513865155
3,-0.03336761693019091,71.65060240963855,-0.050742945096765954,8.973901414871216,8.927685349782308,4.404818466504415
4,-0.1597745819401734,70.49,-0.07526310427735249,9.104441579182943,9.034195693333944,4.40040061155955
5,-0.4747243908124027,70.48,0.005932377005616824,8.2815957736969,8.293041407267253,4.445409231185913
6,2.5027613766735395,75.3,-0.06843155863384406,9.121659762064615,9.059973929723103,4.529847949345907
7,1.1757550847006186,74.21,-0.09592163613066078,9.074194962183634,8.985817743937174,4.502855957349142
8,4.795864897856112,81.08,-0.09814307636891802,8.912183745702107,8.823965476353964,4.446541806856791
9,9.595855534455922,88.48,-0.057227513107160725,8.932061875661214,8.88859860420227,4.316597781181335
10,13.283373381384257,97.48,-0.06943580051263173,8.85732574780782,8.80572081565857,4.700074882507324
11,17.71444917464534,105.17,-0.0469836404422919,9.224894612630209,9.196890258789063,4.4347728904088335
12,23.661085527769796,114.33,-0.05658010845383008,9.322326974868774,9.283470055262248,4.078260038693746
13,26.538626240895933,119.12,-0.07154460784358282,8.709140615463257,8.65160288174947,4.445056087176005
14,27.072167997697726,122.04,-0.03634223138447851,8.59884892463684,8.573492339452107,4.676927970250447
15,28.909694676289178,125.05,-0.07805307805538178,8.91421693166097,8.850261348088582,4.7807485930124916
16,33.99686345449045,133.84,-0.04574781834768752,8.763187109629314,8.730720863342285,4.681442731221517
17,43.086338429912864,150.9,-0.0736003636320432,9.695976537068685,9.635917561848958,4.401321085294088
18,44.90236186933134,153.0,-0.061601180161039035,9.414698635737102,9.370975577036539,4.769797258377075
19,47.752933196723205,158.16,-0.06238251723349095,9.132132139205932,9.084321177800497,4.641533349355062
20,55.73607887697128,170.78,-0.07164695690075557,9.813404210408528,9.777000478108723,4.261070624987284
21,56.978918261490996,173.63,-0.045953656733036044,8.844897181193033,8.819630654652913,4.5967520252863565
22,64.6179615562186,183.66,-0.04436524969836076,9.649816087086995,9.62140869140625,4.556633466084798
23,75.55194004907848,200.77,-0.07390399431188902,8.87902805964152,8.822568403879801,4.281221853892008
24,75.37566747358532,198.07,-0.06360288763418794,8.617939138412476,8.56909134864807,4.525345252354939
25,76.03111922034927,195.81,-0.0945006829748551,9.154637689590453,9.075320571263632,4.581185150146484
26,87.55094609864473,211.13,-0.06190901649494966,9.7392573483785,9.715314083099365,4.367686969439188
27,89.83615594309818,214.17,-0.06070639759302139,8.833645820617676,8.789408655166627,4.710574488639832
28,86.66362225764149,204.53,-0.054807469348112745,9.670676250457763,9.636201960245769,4.466682877540588
29,93.90020198842124,212.74,-0.07907327386240165,9.784376096725463,9.730034395853679,4.291029354731242
30,95.6050227691956,211.16,-0.07178541826705138,9.246543432871501,9.192430334091187,4.556765486399333
31,91.56234444549519,202.52,-0.057702405427893004,8.751543354988097,8.71238727092743,4.716224721272787
32,91.33686029733347,202.07,-0.053436752955118814,9.4075558980306,9.391364065806071,4.304942013422648
33,101.59666573467388,213.01,-0.05559457094098131,9.38189242998759,9.3612837378184,4.354341077804565
34,99.528489838338,210.54,-0.09415806668810546,9.304938325881958,9.231856298446655,4.080527426401774
35,112.92762024956163,227.87,-0.08303553597380718,9.764755512873332,9.697525908152262,4.356407429377238
36,119.37677517820093,236.24,-0.05706962803999583,9.471212822596232,9.429760732650756,4.1532747252782185
37,122.24475386323638,240.98,-0.06757166543665032,9.398287766774496,9.352589562733968,4.307522265116374
38,113.86243247125648,227.6,-0.07523623203237852,9.268910140991212,9.234703890482585,4.042838813463847
39,122.85566876171313,240.68,-0.053229407966136934,9.136041294733683,9.10383902867635,4.084977811177572
40,133.15981387372054,257.01,-0.02922519974100093,9.456550594965616,9.444401337305704,4.284902114868164
