iteration,episode_reward_mean,episode_len_mean,policy_loss,vf_loss,total_loss,entropy
1,37.80003423626102,151.28571428571428,-0.060986120849847794,9.604275353749593,9.54916335105896,4.285067714055379
2,166.579531668741,194.38888888888889,-0.021315321400761603,9.62793869972229,9.610734945933023,4.232735171318054
3,224.6972702252693,235.4,-0.08586632033189137,9.777953259150188,9.698252302805583,4.228416919708252
4,318.97021159985,295.6666666666667,-0.08869468490282695,9.836241483688354,9.754747784932455,4.248518980344136
5,400.28417225623457,333.5,-0.08562016633649668,9.849151859283447,9.770811980565389,4.5702262194951375
6,464.8493989095162,378.96666666666664,-0.08653497605274121,9.947079111735025,9.869643793106079,4.372037369410197
7,535.1574758324718,418.27272727272725,-0.09750610867515207,9.992156206766765,9.905315850575764,4.701665404637654
8,455.06859718119057,378.2926829268293,-0.05911538392305374,9.380207611719767,9.333347368240357,4.498263030052185
9,468.90710456870806,384.1136363636364,-0.11118233740329743,9.950929489135742,9.850503470102947,4.2983092323939
10,475.9734194665307,393.6666666666667,-0.09482125369211038,9.917007395426433,9.83764689763387,4.186294132868449
11,476.5804092242882,398.72222222222223,-0.0600157319009304,9.79078472773234,9.745275433858236,4.602564770380656
12,466.54504744379784,395.70175438596493,-0.0950297424569726,9.893028907775879,9.814481051762899,4.453213710784912
13,447.8199471084548,389.969696969697,-0.08531464916964372,9.398776082992553,9.325060526529947,4.295743158658346
14,456.6552355077984,398.1857142857143,-0.08503866165876389,9.66465391476949,9.596980101267496,4.671974255243938
15,447.2971748532966,396.0135135135135,-0.0975219452381134,9.73662057876587,9.654102160135904,4.228584839502971
16,464.27095984768926,406.73333333333335,-0.10089202838639419,9.990875205993653,9.90310323079427,4.56777383963267
17,472.09378142704446,413.1604938271605,-0.06353963752587637,9.736848341623942,9.691924641927084,4.407181930541992
18,465.26758139202263,408.6744186046512,-0.10799481456788877,9.938787937164307,9.842050342559814,4.198315253257752
19,468.8560044415545,407.3333333333333,-0.08382481594880421,9.479179271062215,9.407689790725708,4.615419952074687
20,490.4867960674122,424.5652173913044,-0.07745922987659772,9.954996598561605,9.892556705474853,4.30539575735728
21,508.8402421806782,436.7368421052632,-0.09127234150966008,9.973030020395914,9.89602412223816,4.511896942456564
22,516.610595202764,442.319587628866,-0.06361572747429212,9.82902987798055,9.780294885635376,4.5936220900217695
23,522.1790447625198,448.6666666666667,-0.06632011105616888,9.932001934051513,9.883947938283285,4.186999266942342
24,545.2677649208366,462.95,-0.03463304162025452,9.635380255381266,9.614319610595704,4.591300427118937
25,574.8180128613044,480.7,-0.05979738414287567,9.779665873845419,9.734905214309693,4.821463200251261
26,595.3533548154952,499.71,-0.08510550811265906,9.851619421641033,9.78183541615804,4.3685962120691935
27,543.6384277762826,472.8,-0.044991600016752877,9.294653902053833,9.26942987759908,4.7043569405873615
28,484.9177746094395,441.77,-0.013496198035621394,9.81155657450358,9.812955436706543,4.872931504249573
29,465.0513574220403,428.58,-0.09971666718522708,9.92241647084554,9.835382175445556,4.541792801221212
30,486.2753044981068,440.24,-0.06872524042924245,9.987463442484538,9.935341517130533,3.8763134972254436
31,512.209924423958,452.56,-0.032785161832968396,9.882871392567953,9.872483870188395,4.409010547002157
32,496.5715950927235,444.97,-0.04218129247426987,9.320558843612671,9.30951176961263,4.889909152984619
33,477.0178540553131,434.07,-0.04145267106592655,9.90151819229126,9.879562136332193,4.374290809631348
34,500.11901723497994,450.7,-0.08902053733666739,9.827886095046997,9.762798398335775,4.2762126541137695
35,511.838269313942,458.86,-0.08646580065290133,9.943353576660156,9.871422926584879,4.671769463221232
36,532.2901812009356,471.15,-0.08388770009080569,9.934803263346355,9.861771742502848,5.032895444234212
37,564.3874250279757,492.77,-0.08027295415600141,9.901367333730063,9.83523967107137,4.899275306065877
38,551.681737549345,482.76,-0.07901718457539876,9.532474196751913,9.46496143658956,4.9903787978490195
39,555.6422834082954,484.34,-0.08720915913581848,9.846785758336384,9.776255168914794,4.789393418629964
40,569.2402838614894,491.46,-0.07372245053450266,9.913046340942383,9.85386734644572,4.782733864784241
41,574.4280318175911,490.54,-0.06567680979768435,9.955009059906006,9.915769748687744,4.73459458510081
42,597.2583772330495,499.79,-0.0917014711893474,9.769572401046753,9.706340834299723,4.754997765223186
43,601.4503257639885,499.42,-0.07398876662055652,9.804945131937663,9.747570864359538,5.129753348032634
44,623.217890278605,511.07,-0.0798632430533568,10.0,9.944552472432454,4.842220056851705
45,636.6422629514441,522.74,-0.07248408789436023,9.936443640391031,9.88139585494995,4.48982572555542
46,660.3674546459937,533.81,-0.056623105412969985,9.876505139668783,9.83651486714681,4.586391412417094
47,643.012260389352,515.83,-0.06670568929364284,9.929799512227376,9.898405570983886,4.807587299346924
48,674.1900659660038,533.85,-0.08301347091794015,9.870808563232423,9.822356395721435,4.866053164800008
49,637.5619837250081,511.79,-0.0625820392370224,9.805930372873942,9.761727403004965,5.454077685674031
50,635.7751073712283,509.1,-0.0620008134841919,9.983057085673014,9.962906646728516,4.455860605239868
51,649.6107003874645,519.56,-0.03932809478603303,9.74139477411906,9.722491505940756,5.748860721588135
52,663.2337365627442,528.26,-0.09610151047507921,9.936261717478434,9.859730332692465,5.068968076705932
53,680.9006967021961,543.81,-0.08416436458627383,9.890277462005615,9.82600531578064,4.4303551149368285
54,686.3534846387415,540.73,-0.06858717858791351,9.870307273864746,9.824875548680623,5.315047717094421
55,710.7131124484439,554.59,-0.05993538114358671,9.67986323038737,9.63872283299764,5.130525668462117
